step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,1.611,0,0.316656,6e-05,1
200,1.46018,0,0.344396,0.00012,2
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
200,,,,,,1.47202,0,1.47202,0,0.338138
300,1.45199,0,0.347449,0.00018,2,,,,,
400,1.37642,0,0.379813,0.00024,3,,,,,
400,,,,,,1.36643,0,1.36643,0,0.393647
500,1.25264,0,0.44938,0.0003,4,,,,,
600,1.22168,0,0.465137,0.00029997,4,,,,,
600,,,,,,1.18105,0,1.18105,0,0.488676
700,1.08777,0,0.527918,0.000299879,5,,,,,
800,1.06652,0,0.538049,0.000299729,5,,,,,
800,,,,,,0.993057,0,0.993057,0,0.571811
900,0.961204,0,0.583581,0.000299518,6,,,,,
1000,0.901018,0,0.609264,0.000299247,7,,,,,
1000,,,,,,0.905185,0,0.905185,0,0.610123
1100,0.90773,0,0.608338,0.000298916,7,,,,,
1200,0.867242,0,0.625275,0.000298526,8,,,,,
1200,,,,,,0.853893,0,0.853893,0,0.632872
1300,0.84431,0,0.635117,0.000298075,9,,,,,
1400,0.852262,0,0.633761,0.000297566,9,,,,,
1400,,,,,,0.83133,0,0.83133,0,0.643375
1500,0.829221,0,0.643446,0.000296997,10,,,,,
1600,0.834322,0,0.642356,0.000296369,10,,,,,
1600,,,,,,0.820928,0,0.820928,0,0.648631
1700,0.818427,0,0.648741,0.000295682,11,,,,,
1800,0.806218,0,0.653823,0.000294937,12,,,,,
1800,,,,,,0.799337,0,0.799337,0,0.658944
1900,0.809462,0,0.653911,0.000294134,12,,,,,
2000,0.798611,0,0.65758,0.000293272,13,,,,,
2000,,,,,,0.799162,0,0.799162,0,0.660543
2100,0.78706,0,0.662734,0.000292354,14,,,,,
2200,0.794022,0,0.660939,0.000291378,14,,,,,
2200,,,,,,0.782879,0,0.782879,0,0.665687
2300,0.786457,0,0.663034,0.000290346,15,,,,,
2400,0.787731,0,0.663607,0.000289258,15,,,,,
2400,,,,,,0.77318,0,0.77318,0,0.670861
2500,0.782644,0,0.665065,0.000288114,16,,,,,
2600,0.775396,0,0.667976,0.000286914,17,,,,,
2600,,,,,,0.771101,0,0.771101,0,0.670381
2700,0.776987,0,0.668432,0.00028566,17,,,,,
2800,0.773702,0,0.668812,0.000284352,18,,,,,
2800,,,,,,0.763883,0,0.763883,0,0.674211
2900,0.761896,0,0.674223,0.00028299,19,,,,,
3000,0.770858,0,0.671239,0.000281575,19,,,,,
3000,,,,,,0.764145,0,0.764145,0,0.674127
3100,0.767973,0,0.671349,0.000280107,20,,,,,
3200,0.767337,0,0.672716,0.000278588,20,,,,,
3200,,,,,,0.758574,0,0.758574,0,0.676893
3300,0.764233,0,0.673451,0.000277017,21,,,,,
3400,0.762222,0,0.673795,0.000275396,22,,,,,
3400,,,,,,0.758086,0,0.758086,0,0.676607
3500,0.76029,0,0.675853,0.000273725,22,,,,,
3600,0.758871,0,0.67543,0.000272005,23,,,,,
3600,,,,,,0.754211,0,0.754211,0,0.67867
3700,0.758027,0,0.676931,0.000270236,23,,,,,
3800,0.755544,0,0.677839,0.00026842,24,,,,,
3800,,,,,,0.752058,0,0.752058,0,0.679291
3900,0.755266,0,0.677248,0.000266557,25,,,,,
4000,0.752514,0,0.679442,0.000264647,25,,,,,
4000,,,,,,0.752248,0,0.752248,0,0.679182
4100,0.751296,0,0.679208,0.000262693,26,,,,,
4200,0.74923,0,0.67994,0.000260693,27,,,,,
4200,,,,,,0.750756,0,0.750756,0,0.680416
4300,0.747997,0,0.681433,0.000258651,27,,,,,
4400,0.747358,0,0.680779,0.000256565,28,,,,,
4400,,,,,,0.748243,0,0.748243,0,0.681772
4500,0.74643,0,0.68227,0.000254437,28,,,,,
4600,0.746051,0,0.681727,0.000252269,29,,,,,
4600,,,,,,0.74791,0,0.74791,0,0.681598
4700,0.745481,0,0.681563,0.00025006,30,,,,,
4800,0.741271,0,0.684498,0.000247813,30,,,,,
4800,,,,,,0.744908,0,0.744908,0,0.683062
4900,0.742947,0,0.682786,0.000245527,31,,,,,
5000,0.738273,0,0.685114,0.000243203,32,,,,,
5000,,,,,,0.748914,0,0.748914,0,0.680955
5100,0.738148,0,0.685856,0.000240844,32,,,,,
5200,0.739628,0,0.684156,0.000238449,33,,,,,
5200,,,,,,0.744764,0,0.744764,0,0.68336
5300,0.737152,0,0.686218,0.00023602,33,,,,,
5400,0.73774,0,0.685221,0.000233558,34,,,,,
5400,,,,,,0.743367,0,0.743367,0,0.683986
5500,0.73703,0,0.685255,0.000231064,35,,,,,
5600,0.732947,0,0.688084,0.000228538,35,,,,,
5600,,,,,,0.746222,0,0.746222,0,0.682829
5700,0.735466,0,0.686089,0.000225983,36,,,,,
5800,0.729392,0,0.688633,0.000223398,37,,,,,
5800,,,,,,0.749512,0,0.749512,0,0.681318
5900,0.729494,0,0.689667,0.000220786,37,,,,,
6000,0.732639,0,0.687513,0.000218147,38,,,,,
6000,,,,,,0.745611,0,0.745611,0,0.6831
6100,0.728947,0,0.689959,0.000215482,38,,,,,
6200,0.730054,0,0.688795,0.000212793,39,,,,,
6200,,,,,,0.741977,0,0.741977,0,0.684604
6300,0.731506,0,0.687885,0.00021008,40,,,,,
