step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,4.33716,0.157613,0,6e-05,1
200,2.28903,0.305581,0,0.00012,2
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
200,,,,,,2.4479,2.4479,0,0.287686,0
300,2.33041,0.30784,0,0.00018,2,,,,,
400,1.79624,0.392558,0,0.00024,3,,,,,
400,,,,,,1.86929,1.86929,0,0.40053,0
500,1.20571,0.550735,0,0.0003,4,,,,,
600,1.12262,0.612189,0,0.00029997,4,,,,,
600,,,,,,0.875756,0.875756,0,0.70902,0
700,0.51766,0.839399,0,0.000299879,5,,,,,
800,0.508759,0.843497,0,0.000299729,5,,,,,
800,,,,,,0.36794,0.36794,0,0.884206,0
900,0.32941,0.892151,0,0.000299518,6,,,,,
1000,0.240654,0.915667,0,0.000299247,7,,,,,
1000,,,,,,0.257183,0.257183,0,0.913576,0
1100,0.257091,0.912673,0,0.000298916,7,,,,,
1200,0.21842,0.922223,0,0.000298526,8,,,,,
1200,,,,,,0.224701,0.224701,0,0.920432,0
1300,0.191603,0.929452,0,0.000298075,9,,,,,
1400,0.203806,0.927257,0,0.000297566,9,,,,,
1400,,,,,,0.19187,0.19187,0,0.931282,0
1500,0.188008,0.930356,0,0.000296997,10,,,,,
1600,0.189621,0.931203,0,0.000296369,10,,,,,
1600,,,,,,0.174366,0.174366,0,0.935812,0
1700,0.181198,0.932857,0,0.000295682,11,,,,,
1800,0.173315,0.934522,0,0.000294937,12,,,,,
1800,,,,,,0.170682,0.170682,0,0.937078,0
1900,0.174063,0.935444,0,0.000294134,12,,,,,
2000,0.168524,0.936174,0,0.000293272,13,,,,,
2000,,,,,,0.164461,0.164461,0,0.939128,0
2100,0.160248,0.93862,0,0.000292354,14,,,,,
2200,0.163354,0.938789,0,0.000291378,14,,,,,
2200,,,,,,0.161488,0.161488,0,0.938341,0
2300,0.161116,0.938658,0,0.000290346,15,,,,,
2400,0.160371,0.939622,0,0.000289258,15,,,,,
2400,,,,,,0.153353,0.153353,0,0.942188,0
2500,0.159231,0.939588,0,0.000288114,16,,,,,
2600,0.153246,0.941136,0,0.000286914,17,,,,,
2600,,,,,,0.151449,0.151449,0,0.943169,0
2700,0.1557,0.94104,0,0.00028566,17,,,,,
2800,0.154617,0.940821,0,0.000284352,18,,,,,
2800,,,,,,0.151803,0.151803,0,0.943136,0
2900,0.150514,0.941687,0,0.00028299,19,,,,,
3000,0.150689,0.9429,0,0.000281575,19,,,,,
3000,,,,,,0.150914,0.150914,0,0.943623,0
3100,0.151539,0.941943,0,0.000280107,20,,,,,
3200,0.14978,0.943041,0,0.000278588,20,,,,,
3200,,,,,,0.145885,0.145885,0,0.944952,0
3300,0.149531,0.942892,0,0.000277017,21,,,,,
3400,0.145826,0.943817,0,0.000275396,22,,,,,
3400,,,,,,0.146719,0.146719,0,0.944537,0
3500,0.146926,0.943889,0,0.000273725,22,,,,,
3600,0.148257,0.943006,0,0.000272005,23,,,,,
3600,,,,,,0.144044,0.144044,0,0.945528,0
3700,0.145724,0.944365,0,0.000270236,23,,,,,
3800,0.145641,0.944482,0,0.00026842,24,,,,,
3800,,,,,,0.147084,0.147084,0,0.943932,0
3900,0.145329,0.943881,0,0.000266557,25,,,,,
4000,0.14413,0.944939,0,0.000264647,25,,,,,
4000,,,,,,0.142324,0.142324,0,0.946007,0
4100,0.144622,0.944392,0,0.000262693,26,,,,,
4200,0.14048,0.945513,0,0.000260693,27,,,,,
4200,,,,,,0.14177,0.14177,0,0.946423,0
4300,0.141646,0.945806,0,0.000258651,27,,,,,
4400,0.143424,0.944568,0,0.000256565,28,,,,,
4400,,,,,,0.142876,0.142876,0,0.946237,0
4500,0.141271,0.945956,0,0.000254437,28,,,,,
4600,0.141351,0.945638,0,0.000252269,29,,,,,
4600,,,,,,0.140397,0.140397,0,0.946616,0
4700,0.141728,0.945115,0,0.00025006,30,,,,,
4800,0.139305,0.94669,0,0.000247813,30,,,,,
4800,,,,,,0.139367,0.139367,0,0.94708,0
4900,0.140701,0.945548,0,0.000245527,31,,,,,
5000,0.135963,0.947311,0,0.000243203,32,,,,,
5000,,,,,,0.139125,0.139125,0,0.947115,0
5100,0.137351,0.947348,0,0.000240844,32,,,,,
5200,0.139881,0.945869,0,0.000238449,33,,,,,
5200,,,,,,0.138749,0.138749,0,0.947338,0
5300,0.137576,0.947277,0,0.00023602,33,,,,,
5400,0.138339,0.946622,0,0.000233558,34,,,,,
5400,,,,,,0.138487,0.138487,0,0.947244,0
5500,0.137004,0.946744,0,0.000231064,35,,,,,
5600,0.136348,0.947654,0,0.000228538,35,,,,,
5600,,,,,,0.138573,0.138573,0,0.947209,0
5700,0.138133,0.946425,0,0.000225983,36,,,,,
5800,0.133607,0.948166,0,0.000223398,37,,,,,
5800,,,,,,0.137214,0.137214,0,0.947686,0
5900,0.134163,0.948405,0,0.000220786,37,,,,,
6000,0.137288,0.94681,0,0.000218147,38,,,,,
6000,,,,,,0.137813,0.137813,0,0.947416,0
6100,0.134597,0.948289,0,0.000215482,38,,,,,
6200,0.136115,0.947443,0,0.000212793,39,,,,,
6200,,,,,,0.13652,0.13652,0,0.948034,0
6300,0.134407,0.947752,0,0.00021008,40,,,,,
6400,0.13385,0.948474,0,0.000207345,40,,,,,
6400,,,,,,0.137121,0.137121,0,0.947874,0
6500,0.136023,0.947149,0,0.000204589,41,,,,,
6600,0.133351,0.948635,0,0.000201814,41,,,,,
6600,,,,,,0.136601,0.136601,0,0.948001,0
6700,0.132825,0.948773,0,0.000199019,42,,,,,
6800,0.135673,0.947288,0,0.000196207,43,,,,,
6800,,,,,,0.136629,0.136629,0,0.947708,0
6900,0.13251,0.948949,0,0.000193378,43,,,,,
7000,0.134077,0.948024,0,0.000190534,44,,,,,
7000,,,,,,0.136032,0.136032,0,0.948124,0
7100,0.132013,0.948655,0,0.000187677,45,,,,,
7200,0.131418,0.949311,0,0.000184806,45,,,,,
7200,,,,,,0.136051,0.136051,0,0.948253,0
7300,0.134285,0.947713,0,0.000181924,46,,,,,
7400,0.131135,0.949405,0,0.000179032,46,,,,,
7400,,,,,,0.136266,0.136266,0,0.94803,0
7500,0.131649,0.949022,0,0.00017613,47,,,,,
7600,0.133441,0.948002,0,0.000173221,48,,,,,
7600,,,,,,0.13651,0.13651,0,0.948053,0
7700,0.130114,0.949772,0,0.000170305,48,,,,,
7800,0.132226,0.948566,0,0.000167383,49,,,,,
7800,,,,,,0.134981,0.134981,0,0.948585,0
7900,0.129611,0.949568,0,0.000164458,50,,,,,
8000,0.128794,0.950256,0,0.000161529,50,,,,,
8000,,,,,,0.135272,0.135272,0,0.9484,0
8100,0.132361,0.948455,0,0.000158599,51,,,,,
8200,0.12912,0.950126,0,0.000155668,51,,,,,
8200,,,,,,0.135642,0.135642,0,0.948263,0
8300,0.130485,0.949294,0,0.000152738,52,,,,,
8400,0.131292,0.948798,0,0.00014981,53,,,,,
8400,,,,,,0.135648,0.135648,0,0.948088,0
8500,0.128171,0.950466,0,0.000146886,53,,,,,
8600,0.130813,0.949024,0,0.000143966,54,,,,,
8600,,,,,,0.135483,0.135483,0,0.948554,0
8700,0.127772,0.95019,0,0.000141051,55,,,,,
8800,0.126522,0.951054,0,0.000138144,55,,,,,
8800,,,,,,0.136228,0.136228,0,0.94813,0
8900,0.130489,0.949211,0,0.000135244,56,,,,,
9000,0.127086,0.95084,0,0.000132354,56,,,,,
9000,,,,,,0.135116,0.135116,0,0.948531,0
9100,0.128785,0.949943,0,0.000129475,57,,,,,
9200,0.128171,0.949977,0,0.000126608,58,,,,,
9200,,,,,,0.135474,0.135474,0,0.948379,0
9300,0.126695,0.950939,0,0.000123753,58,,,,,
9400,0.129462,0.94948,0,0.000120913,59,,,,,
9400,,,,,,0.135418,0.135418,0,0.948374,0
9500,0.12878,0.950053,0,0.000118089,60,,,,,
9600,0.125214,0.951489,0,0.000115281,60,,,,,
9600,,,,,,0.136841,0.136841,0,0.948162,0
9700,0.128937,0.949847,0,0.000112491,61,,,,,
9800,0.125433,0.951389,0,0.00010972,61,,,,,
9800,,,,,,0.135261,0.135261,0,0.948501,0
9900,0.127248,0.95051,0,0.000106969,62,,,,,
10000,0.126628,0.950577,0,0.000104239,63,,,,,
10000,,,,,,0.135916,0.135916,0,0.948376,0
10100,0.12475,0.95164,0,0.000101532,63,,,,,
10200,0.128229,0.950006,0,9.88492e-05,64,,,,,
10200,,,,,,0.136122,0.136122,0,0.948417,0
10300,0.124606,0.951702,0,9.61907e-05,64,,,,,
10400,0.125031,0.9514,0,9.35582e-05,65,,,,,
10400,,,,,,0.136522,0.136522,0,0.948101,0
10500,0.127705,0.950183,0,9.09528e-05,66,,,,,
