step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,2.99346,0.1552,0.294634,6e-05,1
200,1.95182,0.279666,0.330835,0.00012,2
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
200,,,,,,1.99309,2.50586,1.48032,0.29168,0.333599
300,1.91978,0.302703,0.341334,0.00018,2,,,,,
400,1.56607,0.43021,0.358951,0.00024,3,,,,,
400,,,,,,1.58906,1.73693,1.44118,0.465292,0.350967
500,1.19879,0.601614,0.431741,0.0003,4,,,,,
600,1.15358,0.651702,0.454435,0.00029997,4,,,,,
600,,,,,,1.00911,0.8305,1.18772,0.727355,0.489432
700,0.808353,0.832303,0.532682,0.000299879,5,,,,,
800,0.806908,0.832925,0.536634,0.000299729,5,,,,,
800,,,,,,0.738823,0.429517,1.04813,0.863511,0.553791
900,0.700438,0.87422,0.560159,0.000299518,6,,,,,
1000,0.618265,0.905035,0.581712,0.000299247,7,,,,,
1000,,,,,,0.633105,0.298016,0.968194,0.903524,0.581557
1100,0.63172,0.9008,0.580722,0.000298916,7,,,,,
1200,0.583519,0.915309,0.596892,0.000298526,8,,,,,
1200,,,,,,0.57544,0.23961,0.91127,0.918641,0.603214
1300,0.551595,0.924295,0.609614,0.000298075,9,,,,,
1400,0.567622,0.920425,0.607219,0.000297566,9,,,,,
1400,,,,,,0.556077,0.214418,0.897737,0.924133,0.609394
1500,0.541114,0.925815,0.618743,0.000296997,10,,,,,
1600,0.547193,0.925699,0.617663,0.000296369,10,,,,,
1600,,,,,,0.535955,0.195058,0.876853,0.930767,0.622814
1700,0.530364,0.928645,0.626467,0.000295682,11,,,,,
1800,0.516737,0.931246,0.63309,0.000294937,12,,,,,
1800,,,,,,0.514721,0.183143,0.846299,0.934634,0.635166
1900,0.524099,0.930693,0.631498,0.000294134,12,,,,,
2000,0.51,0.932698,0.638397,0.000293272,13,,,,,
2000,,,,,,0.506752,0.178169,0.835335,0.935861,0.640276
2100,0.500051,0.93571,0.642353,0.000292354,14,,,,,
2200,0.506734,0.93491,0.641786,0.000291378,14,,,,,
