step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,1.58929,0,0.306758,6e-05,1
200,1.44559,0,0.361591,0.00012,2
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
200,,,,,,1.43042,0,1.43042,0,0.382583
300,1.42085,0,0.378648,0.00018,2,,,,,
400,1.29495,0,0.440308,0.00024,3,,,,,
400,,,,,,1.238,0,1.238,0,0.468225
500,1.17886,0,0.491232,0.0003,4,,,,,
600,1.16944,0,0.496854,0.00029997,4,,,,,
600,,,,,,1.11304,0,1.11304,0,0.523732
700,1.10482,0,0.526761,0.000299879,5,,,,,
800,1.08274,0,0.537014,0.000299729,5,,,,,
800,,,,,,0.993568,0,0.993568,0,0.582636
900,1.00503,0,0.570141,0.000299518,6,,,,,
1000,0.950284,0,0.593336,0.000299247,7,,,,,
1000,,,,,,0.911513,0,0.911513,0,0.613017
1100,0.951636,0,0.593296,0.000298916,7,,,,,
1200,0.910299,0,0.610405,0.000298526,8,,,,,
1200,,,,,,0.870089,0,0.870089,0,0.629434
1300,0.884124,0,0.621572,0.000298075,9,,,,,
1400,0.895592,0,0.617446,0.000297566,9,,,,,
1400,,,,,,0.846096,0,0.846096,0,0.640437
1500,0.869883,0,0.627898,0.000296997,10,,,,,
1600,0.8772,0,0.625567,0.000296369,10,,,,,
1600,,,,,,0.835107,0,0.835107,0,0.644036
1700,0.859046,0,0.632679,0.000295682,11,,,,,
1800,0.845827,0,0.638153,0.000294937,12,,,,,
1800,,,,,,0.824075,0,0.824075,0,0.648037
1900,0.852027,0,0.636672,0.000294134,12,,,,,
2000,0.837088,0,0.642217,0.000293272,13,,,,,
2000,,,,,,0.808672,0,0.808672,0,0.656071
2100,0.823827,0,0.648317,0.000292354,14,,,,,
2200,0.835998,0,0.64369,0.000291378,14,,,,,
2200,,,,,,0.801103,0,0.801103,0,0.659062
2300,0.824801,0,0.647447,0.000290346,15,,,,,
2400,0.829541,0,0.646427,0.000289258,15,,,,,
2400,,,,,,0.798257,0,0.798257,0,0.660603
2500,0.821225,0,0.649435,0.000288114,16,,,,,
2600,0.812833,0,0.6525,0.000286914,17,,,,,
2600,,,,,,0.798408,0,0.798408,0,0.65961
2700,0.818384,0,0.651319,0.00028566,17,,,,,
2800,0.811121,0,0.65352,0.000284352,18,,,,,
2800,,,,,,0.787166,0,0.787166,0,0.665087
2900,0.800311,0,0.658805,0.00028299,19,,,,,
3000,0.810557,0,0.654955,0.000281575,19,,,,,
3000,,,,,,0.789358,0,0.789358,0,0.66399
3100,0.804938,0,0.65645,0.000280107,20,,,,,
3200,0.807926,0,0.656077,0.000278588,20,,,,,
3200,,,,,,0.787646,0,0.787646,0,0.664849
3300,0.802726,0,0.657652,0.000277017,21,,,,,
3400,0.798761,0,0.659071,0.000275396,22,,,,,
3400,,,,,,0.782881,0,0.782881,0,0.666444
3500,0.801425,0,0.658827,0.000273725,22,,,,,
3600,0.796432,0,0.660106,0.000272005,23,,,,,
3600,,,,,,0.774731,0,0.774731,0,0.670149
3700,0.79876,0,0.660074,0.000270236,23,,,,,
3800,0.796095,0,0.660913,0.00026842,24,,,,,
3800,,,,,,0.774834,0,0.774834,0,0.670127
3900,0.792741,0,0.661575,0.000266557,25,,,,,
4000,0.794415,0,0.66198,0.000264647,25,,,,,
4000,,,,,,0.777335,0,0.777335,0,0.668126
4100,0.790732,0,0.662698,0.000262693,26,,,,,
4200,0.786855,0,0.663971,0.000260693,27,,,,,
