step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,3.93545,0.205655,0,6e-05,1
200,1.9855,0.576301,0,0.00012,2
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
200,,,,,,1.95917,1.95917,0,0.619802,0
300,1.81863,0.658927,0,0.00018,2,,,,,
400,1.3036,0.839014,0,0.00024,3,,,,,
400,,,,,,1.26486,1.26486,0,0.853251,0
500,1.16379,0.875031,0,0.0003,4,,,,,
600,1.18411,0.871907,0,0.00029997,4,,,,,
600,,,,,,1.13751,1.13751,0,0.88988,0
700,1.12055,0.887336,0,0.000299879,5,,,,,
800,1.12827,0.887241,0,0.000299729,5,,,,,
800,,,,,,1.09735,1.09735,0,0.899321,0
900,1.09977,0.89487,0,0.000299518,6,,,,,
1000,1.07179,0.903673,0,0.000299247,7,,,,,
1000,,,,,,1.06153,1.06153,0,0.91274,0
1100,1.07572,0.905406,0,0.000298916,7,,,,,
1200,1.05297,0.912596,0,0.000298526,8,,,,,
1200,,,,,,1.0351,1.0351,0,0.922966,0
1300,1.03158,0.919734,0,0.000298075,9,,,,,
1400,1.04145,0.918462,0,0.000297566,9,,,,,
1400,,,,,,1.02153,1.02153,0,0.928117,0
1500,1.02785,0.921504,0,0.000296997,10,,,,,
1600,1.03083,0.922144,0,0.000296369,10,,,,,
1600,,,,,,1.01169,1.01169,0,0.930709,0
1700,1.0215,0.924459,0,0.000295682,11,,,,,
1800,1.0134,0.926477,0,0.000294937,12,,,,,
1800,,,,,,1.0039,1.0039,0,0.933417,0
1900,1.01661,0.92707,0,0.000294134,12,,,,,
2000,1.0092,0.928276,0,0.000293272,13,,,,,
2000,,,,,,0.998385,0.998385,0,0.934775,0
2100,1.00006,0.931448,0,0.000292354,14,,,,,
2200,1.00758,0.930317,0,0.000291378,14,,,,,
2200,,,,,,0.99747,0.99747,0,0.933737,0
2300,1.00275,0.930639,0,0.000290346,15,,,,,
2400,1.00404,0.931397,0,0.000289258,15,,,,,
2400,,,,,,0.98997,0.98997,0,0.937324,0
2500,1.00092,0.931752,0,0.000288114,16,,,,,
2600,0.994483,0.933485,0,0.000286914,17,,,,,
2600,,,,,,0.988023,0.988023,0,0.938313,0
2700,0.998727,0.933137,0,0.00028566,17,,,,,
2800,0.995675,0.93321,0,0.000284352,18,,,,,
2800,,,,,,0.986149,0.986149,0,0.938897,0
2900,0.991648,0.934565,0,0.00028299,19,,,,,
3000,0.993304,0.935188,0,0.000281575,19,,,,,
3000,,,,,,0.984699,0.984699,0,0.937733,0
