step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,2.87571,0.184114,0.290833,6e-05,1
200,1.81831,0.501979,0.349933,0.00012,2
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
200,,,,,,1.80722,2.18432,1.43012,0.547917,0.377626
300,1.71554,0.589717,0.374381,0.00018,2,,,,,
400,1.34991,0.81036,0.437598,0.00024,3,,,,,
400,,,,,,1.28245,1.32946,1.23544,0.839074,0.47307
500,1.20851,0.864434,0.478408,0.0003,4,,,,,
600,1.21724,0.858428,0.484831,0.00029997,4,,,,,
600,,,,,,1.1547,1.1773,1.1321,0.880543,0.514177
700,1.14804,0.879324,0.509766,0.000299879,5,,,,,
800,1.15072,0.877349,0.514995,0.000299729,5,,,,,
800,,,,,,1.10408,1.12854,1.07962,0.893579,0.544579
900,1.11285,0.885874,0.534652,0.000299518,6,,,,,
1000,1.06531,0.895129,0.561296,0.000299247,7,,,,,
1000,,,,,,1.03758,1.09777,0.977391,0.905009,0.587641
1100,1.06683,0.894704,0.566383,0.000298916,7,,,,,
1200,1.02539,0.903709,0.588869,0.000298526,8,,,,,
1200,,,,,,0.988063,1.06927,0.906857,0.91528,0.614426
1300,0.99467,0.911964,0.604403,0.000298075,9,,,,,
1400,1.00499,0.909312,0.602863,0.000297566,9,,,,,
1400,,,,,,0.960752,1.05019,0.87131,0.921646,0.628898
1500,0.978608,0.914363,0.615056,0.000296997,10,,,,,
1600,0.985499,0.913862,0.613586,0.000296369,10,,,,,
1600,,,,,,0.94843,1.04026,0.856595,0.924295,0.634501
1700,0.967483,0.917302,0.621996,0.000295682,11,,,,,
1800,0.953016,0.920407,0.628674,0.000294937,12,,,,,
1800,,,,,,0.933124,1.02836,0.837885,0.927803,0.641804
1900,0.959908,0.9198,0.627416,0.000294134,12,,,,,
2000,0.944176,0.922629,0.634214,0.000293272,13,,,,,
2000,,,,,,0.920389,1.02176,0.819017,0.929901,0.650673
2100,0.931298,0.92633,0.640454,0.000292354,14,,,,,
2200,0.944704,0.924123,0.635103,0.000291378,14,,,,,
