step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,1.45062,0,0.473228,6e-05,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
100,,,,,,1.08838,0,1.08838,0,0.563789
200,1.06932,0,0.580759,0.00012,2,,,,,
200,,,,,,0.990675,0,0.990675,0,0.619131
300,1.04714,0,0.616046,0.00018,2,,,,,
300,,,,,,1.02648,0,1.02648,0,0.643563
400,1.04521,0,0.63577,0.00024,3,,,,,
400,,,,,,1.01405,0,1.01405,0,0.654423
500,1.07132,0,0.629886,0.0003,4,,,,,
500,,,,,,1.03847,0,1.03847,0,0.633634
600,1.06126,0,0.63457,0.000298949,4,,,,,
600,,,,,,1.04892,0,1.04892,0,0.635277
700,1.03218,0,0.642798,0.000295811,5,,,,,
700,,,,,,0.992378,0,0.992378,0,0.658035
800,1.04776,0,0.63819,0.000290633,6,,,,,
800,,,,,,0.998119,0,0.998119,0,0.656888
900,1.01638,0,0.650188,0.000283491,6,,,,,
900,,,,,,0.997598,0,0.997598,0,0.654554
1000,0.921011,0,0.670277,0.000274491,7,,,,,
1000,,,,,,0.861553,0,0.861553,0,0.685898
1100,0.870577,0,0.684824,0.000263764,7,,,,,
1100,,,,,,0.847516,0,0.847516,0,0.685246
1200,0.835169,0,0.69413,0.00025147,8,,,,,
1200,,,,,,0.805876,0,0.805876,0,0.702411
1300,0.823632,0,0.692971,0.00023779,9,,,,,
1300,,,,,,0.782326,0,0.782326,0,0.706805
1400,0.788108,0,0.70508,0.000222926,9,,,,,
1400,,,,,,0.766836,0,0.766836,0,0.71171
1500,0.773628,0,0.709914,0.000207096,10,,,,,
1500,,,,,,0.743479,0,0.743479,0,0.718158
1600,0.749481,0,0.716653,0.000190534,11,,,,,
1600,,,,,,0.727861,0,0.727861,0,0.724669
1700,0.741159,0,0.718548,0.000173486,11,,,,,
1700,,,,,,0.710127,0,0.710127,0,0.729998
1800,0.734898,0,0.720232,0.000156201,12,,,,,
1800,,,,,,0.702966,0,0.702966,0,0.732534
1900,0.728994,0,0.71909,0.000138936,13,,,,,
1900,,,,,,0.684844,0,0.684844,0,0.738358
2000,0.711127,0,0.728648,0.000121944,13,,,,,
2000,,,,,,0.682987,0,0.682987,0,0.73962
2100,0.704669,0,0.730643,0.000105477,14,,,,,
2100,,,,,,0.668704,0,0.668704,0,0.744001
2200,0.683822,0,0.739082,8.97777e-05,14,,,,,
2200,,,,,,0.660542,0,0.660542,0,0.745741
2300,0.672478,0,0.743558,7.50772e-05,15,,,,,
2300,,,,,,0.652485,0,0.652485,0,0.750043
2400,0.685778,0,0.737301,6.15925e-05,16,,,,,
2400,,,,,,0.651931,0,0.651931,0,0.750073
2500,0.667133,0,0.745074,4.95227e-05,16,,,,,
2500,,,,,,0.65169,0,0.65169,0,0.750288
2600,0.669841,0,0.744081,3.90457e-05,17,,,,,
2600,,,,,,0.641338,0,0.641338,0,0.75452
2700,0.678999,0,0.734997,3.03161e-05,18,,,,,
2700,,,,,,0.637208,0,0.637208,0,0.756439
2800,0.662812,0,0.746108,2.34627e-05,18,,,,,
2800,,,,,,0.633552,0,0.633552,0,0.757565
2900,0.663925,0,0.746625,1.85865e-05,19,,,,,
2900,,,,,,0.634494,0,0.634494,0,0.756202
3000,0.652213,0,0.750803,1.57597e-05,19,,,,,
3000,,,,,,0.631079,0,0.631079,0,0.757993
3100,0.655929,0,0.749078,1.50237e-05,20,,,,,
3100,,,,,,0.6292,0,0.6292,0,0.758954
