step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,3.79664,0.253348,0,6e-05,1
200,1.70358,0.338001,0,0.00012,2
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
200,,,,,,1.73093,1.73093,0,0.338777,0
300,1.72644,0.338733,0,0.00018,2,,,,,
400,1.69698,0.338129,0,0.00024,3,,,,,
400,,,,,,1.6971,1.6971,0,0.343227,0
500,1.67239,0.341125,0,0.0003,4,,,,,
600,1.69101,0.339103,0,0.000298949,4,,,,,
600,,,,,,1.69148,1.69148,0,0.343227,0
700,1.69051,0.341408,0,0.000295811,5,,,,,
800,1.46672,0.356602,0,0.000290633,6,,,,,
800,,,,,,1.47078,1.47078,0,0.360904,0
900,0.89588,0.644685,0,0.000283491,6,,,,,
1000,0.465045,0.824102,0,0.000274491,7,,,,,
1000,,,,,,0.487945,0.487945,0,0.816685,0
1100,0.476093,0.81955,0,0.000263764,7,,,,,
1200,0.448785,0.825726,0,0.00025147,8,,,,,
1200,,,,,,0.44403,0.44403,0,0.827026,0
1300,0.423931,0.833365,0,0.00023779,9,,,,,
1400,0.428445,0.830864,0,0.000222926,9,,,,,
1400,,,,,,0.420566,0.420566,0,0.83345,0
1500,0.416276,0.834256,0,0.000207096,10,,,,,
1600,0.405155,0.839002,0,0.000190534,11,,,,,
1600,,,,,,0.406101,0.406101,0,0.836681,0
1700,0.408343,0.836291,0,0.000173486,11,,,,,
1800,0.402209,0.837022,0,0.000156201,12,,,,,
1800,,,,,,0.395417,0.395417,0,0.839287,0
1900,0.397547,0.838212,0,0.000138936,13,,,,,
2000,0.396867,0.838186,0,0.000121944,13,,,,,
2000,,,,,,0.390582,0.390582,0,0.840151,0
2100,0.389334,0.841951,0,0.000105477,14,,,,,
2200,0.391525,0.839917,0,8.97777e-05,14,,,,,
2200,,,,,,0.384996,0.384996,0,0.842324,0
2300,0.386249,0.841793,0,7.50772e-05,15,,,,,
2400,0.383501,0.843958,0,6.15925e-05,16,,,,,
2400,,,,,,0.379143,0.379143,0,0.844072,0
2500,0.385158,0.841529,0,4.95227e-05,16,,,,,
2600,0.38285,0.84236,0,3.90457e-05,17,,,,,
2600,,,,,,0.376675,0.376675,0,0.844771,0
2700,0.380226,0.844678,0,3.03161e-05,18,,,,,
2800,0.381729,0.84271,0,2.34627e-05,18,,,,,
2800,,,,,,0.375376,0.375376,0,0.844908,0
2900,0.38053,0.843268,0,1.85865e-05,19,,,,,
3000,0.379841,0.843369,0,1.57597e-05,19,,,,,
3000,,,,,,0.373642,0.373642,0,0.84559,0
3100,0.380452,0.842743,0,1.50237e-05,20,,,,,
