step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,5.42289,0.244191,0.464557,6e-05,1
200,2.9688,0.333104,0.554445,0.00012,2
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
200,,,,,,2.91627,1.70834,1.20792,0.33518,0.563789
300,2.92561,0.336942,0.566419,0.00018,2,,,,,
400,2.90303,0.340985,0.568045,0.00024,3,,,,,
400,,,,,,2.89541,1.68844,1.20697,0.343227,0.563789
500,2.89842,0.342054,0.565498,0.0003,4,,,,,
600,2.89111,0.340518,0.565802,0.000298949,4,,,,,
600,,,,,,2.88101,1.67355,1.20746,0.343227,0.563789
700,2.89101,0.34107,0.558199,0.000295811,5,,,,,
800,2.92494,0.342773,0.541412,0.000290633,6,,,,,
800,,,,,,2.88047,1.67061,1.20985,0.343227,0.563789
900,2.88504,0.342394,0.56013,0.000283491,6,,,,,
1000,2.88461,0.343457,0.557998,0.000274491,7,,,,,
1000,,,,,,2.86897,1.66197,1.207,0.343227,0.563789
1100,2.85141,0.34385,0.563207,0.000263764,7,,,,,
1200,2.25569,0.50761,0.587235,0.00025147,8,,,,,
1200,,,,,,1.57956,0.618377,0.961183,0.787848,0.636306
1300,1.49608,0.811282,0.639082,0.00023779,9,,,,,
1400,1.44137,0.803911,0.65626,0.000222926,9,,,,,
1400,,,,,,1.41944,0.507849,0.911591,0.813164,0.661683
1500,1.38783,0.816413,0.667008,0.000207096,10,,,,,
1600,1.34928,0.827234,0.678683,0.000190534,11,,,,,
1600,,,,,,1.33626,0.45915,0.877111,0.820479,0.679394
1700,1.34288,0.823069,0.6787,0.000173486,11,,,,,
1800,1.34052,0.824382,0.674976,0.000156201,12,,,,,
1800,,,,,,1.31277,0.457723,0.855045,0.825068,0.688948
1900,1.34068,0.826513,0.669341,0.000138936,13,,,,,
2000,1.29754,0.827083,0.686527,0.000121944,13,,,,,
2000,,,,,,1.27433,0.443536,0.830793,0.828669,0.695194
2100,1.2854,0.831835,0.688759,0.000105477,14,,,,,
2200,1.25957,0.829648,0.696879,8.97777e-05,14,,,,,
2200,,,,,,1.23431,0.432723,0.801584,0.831717,0.703789
2300,1.24156,0.831383,0.70281,7.50772e-05,15,,,,,
2400,1.25381,0.833473,0.695796,6.15925e-05,16,,,,,
2400,,,,,,1.21754,0.426988,0.790556,0.832639,0.708505
2500,1.22808,0.830859,0.7043,4.95227e-05,16,,,,,
2600,1.22674,0.831963,0.7019,3.90457e-05,17,,,,,
2600,,,,,,1.19861,0.425179,0.773428,0.832963,0.711673
2700,1.23826,0.834192,0.69137,3.03161e-05,18,,,,,
2800,1.21127,0.831913,0.705523,2.34627e-05,18,,,,,
2800,,,,,,1.18177,0.423617,0.75815,0.833722,0.713962
2900,1.2115,0.832799,0.704683,1.85865e-05,19,,,,,
3000,1.19505,0.832701,0.709918,1.57597e-05,19,,,,,
3000,,,,,,1.17172,0.421891,0.749826,0.834054,0.716734
3100,1.19805,0.832163,0.709066,1.50237e-05,20,,,,,
