step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,5.81707,0.233468,0.457799,5e-05,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
100,,,,,,3.78676,2.52225,1.26452,0.333406,0.563789
200,3.4413,0.334452,0.557884,0.0001,2,,,,,
200,,,,,,3.37298,2.30736,1.06562,0.342433,0.573676
300,3.2839,0.343175,0.600113,0.00015,2,,,,,
300,,,,,,3.17759,2.2012,0.97639,0.347019,0.632152
400,3.12762,0.353678,0.636415,0.0002,3,,,,,
400,,,,,,3.08441,2.15468,0.929728,0.359682,0.658732
500,3.06799,0.359662,0.6524,0.00025,4,,,,,
500,,,,,,3.05608,2.13046,0.925623,0.360822,0.653878
600,3.01136,0.375156,0.665421,0.0003,4,,,,,
600,,,,,,2.51505,1.62018,0.894871,0.698525,0.677589
700,2.23746,0.810458,0.660168,0.00035,5,,,,,
700,,,,,,2.20727,1.33219,0.875079,0.808058,0.67825
800,2.20018,0.826007,0.657079,0.0004,6,,,,,
800,,,,,,2.14393,1.28257,0.861361,0.818578,0.676612
900,2.14994,0.81638,0.679572,0.00045,6,,,,,
900,,,,,,2.13028,1.28088,0.849404,0.819061,0.682563
1000,2.11637,0.828024,0.683395,0.0005,7,,,,,
1000,,,,,,2.08236,1.27392,0.808442,0.824272,0.695398
1100,2.08997,0.82434,0.692775,0.00055,7,,,,,
1100,,,,,,2.06047,1.26621,0.794267,0.828003,0.698436
1200,2.06174,0.827803,0.698177,0.0006,8,,,,,
1200,,,,,,2.0445,1.26466,0.779845,0.830246,0.7009
1300,2.02105,0.832341,0.711553,0.00065,9,,,,,
1300,,,,,,1.97836,1.25552,0.722846,0.829694,0.724474
1400,1.99505,0.829627,0.719257,0.0007,9,,,,,
1400,,,,,,1.98231,1.2614,0.720911,0.825799,0.724286
1500,1.95502,0.832939,0.731027,0.00075,10,,,,,
1500,,,,,,1.93441,1.24795,0.686452,0.834502,0.737644
1600,1.93626,0.837448,0.733405,0.0008,11,,,,,
1600,,,,,,1.90867,1.24299,0.665681,0.833495,0.744334
1700,1.9479,0.833612,0.732445,0.00085,11,,,,,
1700,,,,,,1.90508,1.24183,0.663241,0.831933,0.743584
1800,1.91516,0.836204,0.740565,0.0009,12,,,,,
1800,,,,,,1.88616,1.24082,0.645347,0.831858,0.751802
1900,1.92544,0.836749,0.739155,0.00095,13,,,,,
1900,,,,,,1.87364,1.23685,0.636796,0.836388,0.757584
2000,1.88247,0.837079,0.752784,0.001,13,,,,,
2000,,,,,,1.86499,1.23253,0.632465,0.837478,0.756821
2100,1.85486,0.842544,0.759927,0.00099987,14,,,,,
2100,,,,,,1.81886,1.2232,0.595656,0.841814,0.771982
2200,1.84224,0.838544,0.765234,0.00099948,14,,,,,
2200,,,,,,1.81881,1.22777,0.591039,0.835726,0.771668
2300,1.82249,0.84215,0.770693,0.00099883,15,,,,,
2300,,,,,,1.80408,1.21737,0.586707,0.843925,0.776514
2400,1.8028,0.846651,0.775517,0.000997921,16,,,,,
2400,,,,,,1.78043,1.21171,0.568719,0.845332,0.783658
2500,1.79346,0.843873,0.778943,0.000996752,16,,,,,
2500,,,,,,1.76829,1.21507,0.55322,0.845244,0.788627
2600,1.77366,0.845326,0.784456,0.000995326,17,,,,,
2600,,,,,,1.75727,1.2129,0.544366,0.841641,0.791738
2700,1.75717,0.848383,0.78829,0.000993641,18,,,,,
2700,,,,,,1.76878,1.20619,0.56259,0.847493,0.784651
2800,1.75445,0.846013,0.79212,0.000991701,18,,,,,
2800,,,,,,1.73509,1.20727,0.527827,0.845711,0.797684
2900,1.7383,0.847251,0.798221,0.000989504,19,,,,,
2900,,,,,,1.71861,1.20368,0.514929,0.848909,0.802958
3000,1.7185,0.846444,0.805506,0.000987054,19,,,,,
3000,,,,,,1.68785,1.20407,0.483781,0.848783,0.816872
