step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,4.63554,0.276687,0.120187,5e-05,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
100,,,,,,2.60757,2.5693,0.0382725,0.333406,0.00127843
200,2.4365,0.331367,0.338341,0.0001,2,,,,,
200,,,,,,2.44823,2.41631,0.0319208,0.333406,0.56081
300,2.43795,0.334933,0.288968,0.00015,2,,,,,
300,,,,,,2.41193,2.38186,0.0300661,0.341176,0.0319916
400,2.39463,0.339949,0.251731,0.0002,3,,,,,
400,,,,,,2.39495,2.36504,0.0299064,0.343227,0.293404
500,2.37042,0.340219,0.247521,0.00025,4,,,,,
500,,,,,,2.39332,2.3635,0.0298259,0.328481,0.162998
600,2.38459,0.339324,0.220904,0.0003,4,,,,,
600,,,,,,2.38596,2.35618,0.0297789,0.343227,0.0297402
700,2.38387,0.339955,0.160698,0.00035,5,,,,,
700,,,,,,2.39662,2.36684,0.0297803,0.335464,0.104948
800,2.19174,0.355387,0.532316,0.0004,6,,,,,
800,,,,,,2.21184,2.19748,0.0143623,0.35667,0.554669
900,2.20384,0.3546,0.228046,0.00045,6,,,,,
900,,,,,,2.19347,2.1834,0.0100699,0.35716,0.049727
1000,2.14777,0.363476,0.239269,0.0005,7,,,,,
1000,,,,,,2.16211,2.15539,0.00671926,0.361338,0.0879915
1100,1.98237,0.483369,0.27354,0.00055,7,,,,,
1100,,,,,,1.42724,1.41865,0.00859254,0.793712,0.560526
1200,1.34612,0.812059,0.218025,0.0006,8,,,,,
1200,,,,,,1.32603,1.31964,0.00639166,0.818002,0.140262
1300,1.28603,0.827301,0.235411,0.00065,9,,,,,
1300,,,,,,1.31436,1.30829,0.00607058,0.818518,0.126496
1400,1.33406,0.816848,0.228622,0.0007,9,,,,,
1400,,,,,,1.31883,1.31179,0.00704177,0.8221,0.114597
1500,1.29194,0.823608,0.156355,0.00075,10,,,,,
1500,,,,,,1.29011,1.28407,0.0060357,0.822126,0.172106
1600,1.2577,0.834134,0.164204,0.0008,11,,,,,
1600,,,,,,1.26982,1.26418,0.00564411,0.830234,0.174393
1700,1.27731,0.826779,0.194158,0.00085,11,,,,,
1700,,,,,,1.26525,1.26201,0.00324598,0.829024,0.175815
1800,1.2481,0.832276,0.230649,0.0009,12,,,,,
1800,,,,,,1.2421,1.25493,-0.0128296,0.830362,0.305484
1900,1.19962,0.834082,0.376224,0.00095,13,,,,,
1900,,,,,,1.19901,1.24727,-0.0482607,0.834615,0.384104
2000,1.1809,0.833021,0.283161,0.001,13,,,,,
2000,,,,,,1.27946,1.27757,0.00189534,0.823679,0.437406
2100,1.12781,0.837652,0.220304,0.00099987,14,,,,,
2100,,,,,,1.12239,1.24396,-0.121562,0.83466,0.2144
2200,1.12092,0.832555,0.205616,0.00099948,14,,,,,
2200,,,,,,1.08012,1.25252,-0.172404,0.833367,0.242982
