step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,7.09996,0.0989651,0.472826,5e-05,1
200,3.70078,0.331367,0.554445,0.0001,2
300,3.55615,0.333726,0.571638,0.00015,2
400,3.31911,0.346036,0.588512,0.0002,3
500,3.02248,0.699289,0.60998,0.00025,4
600,2.70787,0.752488,0.629043,0.0003,4
700,2.36399,0.796656,0.614577,0.00035,5
800,2.34058,0.810389,0.616459,0.0004,6
900,2.27328,0.811846,0.643018,0.00045,6
1000,2.24635,0.822734,0.640639,0.0005,7
1100,2.20971,0.818599,0.655833,0.00055,7
1200,2.17777,0.820397,0.665373,0.0006,8
1300,2.16566,0.82857,0.666653,0.00065,9
1400,2.12103,0.822945,0.682369,0.0007,9
1500,2.10306,0.826892,0.684357,0.00075,10
1600,2.06171,0.833064,0.694835,0.0008,11
1700,2.05143,0.829494,0.699872,0.00085,11
1800,2.04578,0.830947,0.700807,0.0009,12
1900,2.02756,0.832405,0.703969,0.00095,13
2000,2.00034,0.832522,0.715375,0.001,13
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,1.97283,1.24904,0.723791,0.831566,0.722832
2100,1.97035,0.836817,0.724923,0.000980227,14,,,,,
2200,1.94445,0.834524,0.733812,0.000922555,14,,,,,
2300,1.91594,0.836885,0.743221,0.000831785,15,,,,,
2400,1.91014,0.839646,0.743859,0.000715474,16,,,,,
2500,1.89192,0.837604,0.749692,0.000583305,16,,,,,
2600,1.88196,0.838603,0.751219,0.000446282,17,,,,,
2700,1.88504,0.841179,0.745466,0.000315813,18,,,,,
2800,1.86415,0.839583,0.757464,0.000202759,18,,,,,
2900,1.85888,0.840014,0.759212,0.000116533,19,,,,,
3000,1.84674,0.840308,0.76324,6.43136e-05,19,,,,,
3100,1.84952,0.83985,0.762702,5.04479e-05,20,,,,,
