step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,5.37344,0.123677,0.21049,1.5e-05,1
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
100,,,,,,2.83184,2.74862,0.0832169,0.339185,0.122522
200,2.1772,0.569999,0.20587,3e-05,2,,,,,
200,,,,,,1.77061,1.73423,0.0363841,0.759546,0.156254
300,1.79302,0.706248,0.20989,4.5e-05,2,,,,,
300,,,,,,1.43053,1.41053,0.0200011,0.810071,0.223215
400,1.41181,0.806005,0.226255,6e-05,3,,,,,
400,,,,,,1.37031,1.35923,0.0110782,0.815516,0.144528
500,1.32593,0.822191,0.221232,7.5e-05,4,,,,,
500,,,,,,1.33606,1.3275,0.00855818,0.818932,0.19693
600,1.33579,0.816092,0.233337,9e-05,4,,,,,
600,,,,,,1.30962,1.30276,0.00685457,0.822659,0.346492
700,1.31239,0.819766,0.255656,0.000105,5,,,,,
700,,,,,,1.30238,1.29778,0.00459744,0.819408,0.344438
800,1.28695,0.826665,0.237451,0.00012,6,,,,,
800,,,,,,1.29175,1.28833,0.00342601,0.826139,0.337777
900,1.29305,0.8234,0.223944,0.000135,6,,,,,
900,,,,,,1.28184,1.27916,0.00268582,0.826651,0.264703
1000,1.2763,0.828732,0.178375,0.00015,7,,,,,
1000,,,,,,1.27188,1.26992,0.00196296,0.828766,0.156556
1100,1.28073,0.825323,0.161111,0.000165,7,,,,,
1100,,,,,,1.27112,1.26967,0.00144801,0.829018,0.106067
1200,1.27231,0.826513,0.138331,0.00018,8,,,,,
1200,,,,,,1.26317,1.26289,0.000288391,0.82975,0.104559
1300,1.2581,0.832471,0.130359,0.000195,9,,,,,
1300,,,,,,1.26154,1.26213,-0.000586182,0.83195,0.106991
1400,1.26401,0.828193,0.122173,0.00021,9,,,,,
1400,,,,,,1.25729,1.25872,-0.00142986,0.825676,0.110338
1500,1.25544,0.830129,0.119355,0.000225,10,,,,,
1500,,,,,,1.24975,1.25204,-0.00229644,0.833296,0.0732434
1600,1.24546,0.835582,0.116527,0.00024,11,,,,,
1600,,,,,,1.24581,1.24917,-0.00336506,0.834413,0.0696999
1700,1.2488,0.831698,0.114218,0.000255,11,,,,,
1700,,,,,,1.24037,1.2454,-0.0050312,0.832774,0.0850671
1800,1.24218,0.833129,0.120371,0.00027,12,,,,,
1800,,,,,,1.23122,1.23778,-0.00656411,0.836925,0.101326
1900,1.23636,0.834335,0.136187,0.000285,13,,,,,
1900,,,,,,1.23115,1.23865,-0.00749355,0.836132,0.107652
2000,1.2365,0.833369,0.135121,0.0003,13,,,,,
2000,,,,,,1.22997,1.23935,-0.00937893,0.834605,0.0810063
2100,1.22532,0.83721,0.131615,0.000299961,14,,,,,
2100,,,,,,1.21851,1.22987,-0.0113545,0.838768,0.124746
2200,1.22795,0.835422,0.138943,0.000299844,14,,,,,
2200,,,,,,1.2153,1.22836,-0.0130539,0.83911,0.1284
2300,1.22092,0.836961,0.144815,0.000299649,15,,,,,
2300,,,,,,1.20757,1.22289,-0.015319,0.840497,0.135669
2400,1.21549,0.839092,0.14061,0.000299376,16,,,,,
2400,,,,,,1.20687,1.22436,-0.0174908,0.839888,0.124406
2500,1.2168,0.837087,0.135712,0.000299026,16,,,,,
2500,,,,,,1.20158,1.22122,-0.0196362,0.841294,0.122846
2600,1.21006,0.8382,0.138218,0.000298598,17,,,,,
2600,,,,,,1.19631,1.21856,-0.0222483,0.842188,0.103839
2700,1.20314,0.840725,0.144196,0.000298092,18,,,,,
2700,,,,,,1.18949,1.21666,-0.0271726,0.842476,0.140726
2800,1.20169,0.83883,0.135595,0.00029751,18,,,,,
2800,,,,,,1.19178,1.22522,-0.0334401,0.840545,0.191709
2900,1.18985,0.839401,0.134211,0.000296851,19,,,,,
2900,,,,,,1.16694,1.21655,-0.0496082,0.843195,0.0676275
3000,1.18554,0.83954,0.126189,0.000296116,19,,,,,
3000,,,,,,1.16058,1.21364,-0.0530626,0.843633,0.0949748
3100,1.17624,0.839683,0.11978,0.000295305,20,,,,,
3100,,,,,,1.15401,1.21441,-0.0604023,0.843634,0.107655
3200,1.16369,0.841154,0.118159,0.000294418,21,,,,,
3200,,,,,,1.14295,1.21435,-0.0714017,0.843942,0.0819039
3300,1.16293,0.840269,0.114683,0.000293457,21,,,,,
3300,,,,,,1.13559,1.21382,-0.0782323,0.843649,0.130943
3400,1.15177,0.840758,0.118452,0.000292421,22,,,,,
3400,,,,,,1.1256,1.2124,-0.0868055,0.843894,0.120055
3500,1.14835,0.843106,0.108459,0.000291311,23,,,,,
3500,,,,,,1.11801,1.212,-0.0939958,0.844708,0.116641
3600,1.1383,0.841246,0.110942,0.000290128,23,,,,,
