step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch
100,6.51641,0.137299,0.407654,1.5e-05,1
200,3.47555,0.405761,0.552279,3e-05,2
300,3.15515,0.545849,0.570529,4.5e-05,2
400,2.48978,0.787156,0.601153,6e-05,3
500,2.35176,0.814275,0.629506,7.5e-05,4
600,2.29944,0.807791,0.644564,9e-05,4
700,2.24474,0.812282,0.65575,0.000105,5
800,2.2301,0.822128,0.649153,0.00012,6
900,2.18557,0.817322,0.66946,0.000135,6
1000,2.16713,0.823803,0.673007,0.00015,7
1100,2.14518,0.819926,0.679495,0.000165,7
1200,2.13256,0.82126,0.682723,0.00018,8
1300,2.1392,0.828159,0.675287,0.000195,9
1400,2.10852,0.82298,0.687132,0.00021,9
1500,2.10886,0.824946,0.687173,0.000225,10
1600,2.09088,0.830825,0.689628,0.00024,11
1700,2.0944,0.825897,0.68868,0.000255,11
1800,2.09683,0.827041,0.686966,0.00027,12
1900,2.10618,0.82864,0.680299,0.000285,13
2000,2.0845,0.827601,0.688011,0.0003,13
step,train/loss,train/acc_e,train/acc_l,train/lr,train/epoch,val/loss,val/loss_e,val/loss_l,val/acc_e,val/acc_l
2000,,,,,,2.05802,1.2601,0.79791,0.828426,0.692271
2100,2.08423,0.831834,0.688764,0.000294068,14,,,,,
2200,2.0609,0.828592,0.69711,0.000276767,14,,,,,
2300,2.04744,0.831019,0.702214,0.000249535,15,,,,,
2400,2.05532,0.833517,0.697747,0.000214642,16,,,,,
2500,2.03894,0.830819,0.702795,0.000174992,16,,,,,
2600,2.04069,0.831913,0.701342,0.000133885,17,,,,,
2700,2.04623,0.834326,0.694771,9.47438e-05,18,,,,,
2800,2.02895,0.832131,0.70466,6.08277e-05,18,,,,,
2900,2.0317,0.832467,0.703701,3.49599e-05,19,,,,,
3000,2.01637,0.832817,0.70876,1.92941e-05,19,,,,,
3100,2.02146,0.832176,0.707302,1.51344e-05,20,,,,,
